-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p19	p20	p21	p23	p24	p25	p29	p3	p30	p31	p32	p33	p35	p36	p37	p38	p39	p40	p41	p42	p44	p5	p7	p8
20140918DHWT060			+									+										+			+			+				+	+
20140918GYT008												+										+			+	+						+	+
20140918LMMT011								+						+				+			+	+			+							+	+
20140918LMMT013								+			+							+				+			+							+	+
20140918LMMT015								+				+		+				+				+			+							+	+
20140919DDDT088		+								+		+						+					+		+	+						+	+
20140919DDDT089		+																+					+	+	+					+		+	+
20140919DDDT091		+								+													+	+	+					+			
20140919DHWT049												+										+			+			+				+	+
20140919DHWT053												+						+							+	+		+				+	+
20140919DHWT055			+									+						+				+			+	+		+				+	+
20140919DYYT149		+		+				+										+			+				+				+			+	+
20140919DYYT150				+				+		+												+										+	+
20140919DYYT151				+				+		+								+			+	+							+			+	+
20140919DYYT152		+		+				+										+				+							+			+	+
20140919DYYT153		+		+	+			+		+								+			+	+			+				+			+	+
20140919DYYT154		+		+	+			+		+								+			+	+			+							+	+
20140919DYYT156		+		+				+										+			+	+			+							+	+
20140919DYYT157													+					+			+	+			+							+	+
20140919DYYT159							+						+					+		+		+			+							+	+
20140919DYYT160							+						+					+				+			+							+	+
20140919DYYT161		+					+						+					+			+	+			+							+	+
20140919DYYT163		+					+						+					+			+				+							+	+
20140919DYYT164		+											+					+							+							+	+
20140919DYYT165										+											+	+										+	+
20140919DYYT169													+					+											+			+	+
20140919DYYT170													+	+				+							+				+			+	+
20140919DYYT173													+	+				+				+			+				+			+	+
20140919DYYT174										+			+	+				+				+			+				+			+	+
20140919DYYT178														+				+							+				+			+	+
20140919DYYT179										+				+								+			+				+			+	+
20140919KYYT005			+									+										+										+	+
20140919KYYT007			+																			+			+							+	+
20140919KYYT014					+							+										+										+	
20140919KYYT015			+									+										+			+				+			+	
20140919KYYT018												+										+											
20140919KYYT021																			+			+											
20140919KYYT025																						+	+									+	+
20140920DDDT103			+											+								+				+		+	+			+	
20140920DDDT104		+																				+			+				+				
20140920DDDT105			+																	+		+	+		+	+						+	+
20140920DDDT107																						+			+				+		+	+	+
20140920DDDT109			+					+												+		+	+		+	+		+	+		+	+	+
20140920DDDT110			+					+												+		+	+		+	+		+	+		+		+
20140920DDDT111			+					+												+		+	+		+	+		+	+				
20140920DDDT112																									+	+							
20140920DDDT113	+											+									+		+		+				+			+	
20140920DDDT114			+																						+	+				+			
20140920DDDT117			+							+									+	+					+	+							
20140920DDDT118	+																												+			+	
20140920DDDT119																+							+		+							+	+
20140920DDDT120																+						+	+		+				+			+	+
20140920DDDT123																						+			+				+			+	+
20140920DDDT124																					+				+		+					+	+
20140920DDDT131																							+									+	+
20140920DDDT134			+																	+		+				+							
20140920DDDT136			+																						+	+						+	
20140920DDDT137																		+								+						+	
20140920DDDT139		+				+												+														+	+
20140920DDDT140																		+		+		+											
20140920DDDT141		+																+					+		+	+							
20140920DDDT145		+										+						+					+		+	+						+	+
20140920DDDT146																		+		+						+							
20140920DDDT147																				+		+				+							
20140920DDDT149																				+			+		+							+	
20140920DDDT151												+	+					+			+		+		+	+						+	+
20140920DHWT062												+						+				+				+						+	+
20140920GYT013																		+				+				+						+	+
20140920KYYT027			+									+		+								+			+							+	+
20140920KYYT031												+		+								+			+							+	+
20140920KYYT032																						+	+									+	
20140920KYYT033																						+	+										
20140920KYYT036																					+	+	+		+								+
20140920KYYT040																					+	+	+		+					+			
20140920KYYT047												+								+	+	+			+							+	+
20140920KYYT048												+		+								+						+				+	+
20140920KYYT053												+		+							+	+	+									+	
20140920KYYT060												+		+							+	+	+					+				+	+
20140920KYYT061															+							+	+									+	+
20140920KYYT062												+		+							+	+	+		+			+				+	+
20140920KYYT063												+		+							+		+					+				+	+
20140920KYYT065												+		+						+	+	+	+					+				+	+
20140920KYYT067												+		+								+	+					+				+	+
20140920KYYT069												+		+							+	+	+									+	+
20140920KYYT072												+		+								+	+		+							+	+
20140920KYYT073														+								+	+										
20140920KYYT074												+		+							+	+	+		+							+	+
20140920LMMT022								+										+				+			+							+	+
20140920LMMT024								+			+							+			+	+			+							+	+
20140920LMMT025								+										+			+	+			+	+						+	+
20140920LMMT035	+							+																									
20140920LMMT042								+				+						+				+			+							+	+
20140920LMMT047								+										+				+			+	+						+	+
20140920LTT410		+									+							+							+		+				+		
20140920WST013																			+	+						+						+	
20140920XART088														+				+				+			+							+	+
20140920XART095		+	+																						+	+						+	
20140921GYT017																		+				+			+	+						+	+
20140921GYT023																		+ 				+			+	+						+	+
20140921GYT025		+	+																						+							+	+
20140921GYT032																		+								+						+	+
20140921GYT034																				+						+						+	+
20140921WHHT001					+					+	+		+					+													+		
20140921WHHT002					+					+	+		+	+				+							+						+		
20140921WHHT004					+				+	+			+					+								+			+			+	
20140921WHHT005														+								+			+								
20140921WHHT006					+		+			+	+		+	+				+				+			+				+		+	+	
20140921WHHT008					+		+			+	+		+					+													+		
20140921WHHT009																		+			+								+			+	
20140921WHHT010																		+			+	+											
20140921WHHT012																		+											+			+	
20140921WHHT014																		+				+											
20140921WHHT018																		+			+	+			+								
20140921WHHT022																		+			+												
20140921WHHT025														+				+			+				+								
20140921WHHT027														+				+			+	+			+								
20140921XART106										+													+									+	
20140921XART119														+								+			+							+	+
20140921YXYT016			+	+			+	+																		+		+				+	
20140921YXYT017			+	+			+	+			+															+		+				+	
20140922DDDT153		+										+						+			+	+	+		+	+						+	+
20140922DDDT157		+										+						+			+	+			+	+						+	+
20140922DDDT158		+										+						+				+	+		+	+						+	+
20140922DDDT160												+						+				+			+							+	+
20140922DDDT164												+						+			+	+	+		+	+						+	+
20140922DDDT168									+			+						+			+		+		+	+						+	+
20140922DHWT068		+																+				+			+	+		+				+	+
20140922DHWT076			+									+						+				+	+		+	+		+				+	+
20140922DHWT077			+									+						+				+	+		+	+						+	+
20140922DHWT080												+						+				+	+		+	+						+	+
20140922DHWT082												+						+				+	+			+						+	+
20140922DHWT084																		+				+	+			+						+	+
20140922DHWT085												+										+	+		+			+				+	+
20140922WKT212																		+			+	+							+			+	+
20140922WKT218																		+			+	+				+			+		+	+	+
20140923GYT041																										+						+	+
20140923GYT043																									+	+						+	+
20140923LGYT002																		+							+	+			+			+	+
20140923LGYT003		+										+						+			+	+			+	+			+		+	+	+
20140923LGYT004	+	+								+		+						+		+					+	+			+			+	+
20140923LGYT005		+								+		+						+		+	+				+	+		+	+		+		+
20140923LGYT010		+										+						+			+				+	+			+			+	+
20140923LGYT011		+										+						+			+				+	+			+	+		+	+
20140923LGYT012		+										+						+			+				+	+			+		+		+
20140923LGYT013		+	+									+							+						+	+						+	
20140923LGYT014												+									+		+		+	+		+					
20140923LGYT015												+						+		+	+	+	+		+	+		+					
20140923LGYT016		+										+						+							+	+		+	+			+	+
20140923LGYT020												+						+				+			+	+			+			+	+
20140923LGYT021			+									+					+	+	+	+				+	+	+						+	
20140923LGYT022												+						+			+				+	+			+			+	+
20140923LGYT023																									+	+		+	+		+	+	+
20140923LGYT026			+																	+					+	+							
20140923LGYT027												+						+		+	+	+			+	+			+			+	+
20140923LGYT028																							+									+	
20140923LGYT031												+		+				+			+				+	+		+	+			+	+
20140923LGYT032												+		+				+							+	+			+			+	+
20140923LGYT033												+		+				+				+			+	+			+			+	+
20140923LGYT034												+		+				+		+		+			+	+			+			+	+
20140923LGYT036														+				+							+	+			+				+
20140923LGYT037														+				+		+		+			+	+		+	+			+	+
20140923LGYT038												+														+			+			+	+
20140923LGYT039												+		+											+	+			+			+	+
20140923LGYT041												+	+	+				+							+	+			+		+		+
20140923LGYT042												+		+											+	+			+		+	+	+
20140923LGYT046			+									+		+				+				+			+	+		+			+	+	+
20140923LGYT048		+										+						+		+		+			+	+			+		+	+	+
20140923LGYT050		+										+													+	+			+			+	+
20140923LGYT051		+										+													+	+			+		+	+	+
20140923LGYT053		+										+						+							+	+			+		+	+	+
20140923LGYT057		+										+													+	+					+		
20140923LGYT058		+										+						+		+	+	+			+	+			+		+	+	+
20140923LGYT059		+	+					+				+						+		+					+	+		+	+	+	+	+	
20140923LGYT060		+										+						+		+					+				+			+	+
20140923LGYT061		+										+						+							+	+			+			+	+
20140923LGYT063		+										+													+				+		+	+	+
20140923LGYT064												+						+					+			+						+	
20140923LGYT065		+								+		+						+		+	+	+			+	+			+			+	+
20140923LGYT067	+	+																		+		+			+	+			+			+	+
20140923LGYT068		+																+			+	+			+	+			+			+	+
20140923LGYT069		+								+								+			+	+			+	+			+			+	+
20140923LGYT070			+							+							+	+		+				+	+	+					+	+	
20140923LGYT072			+							+										+					+						+	+	
20140923LGYT074			+							+							+	+		+	+	+		+	+	+					+	+	
20140923LGYT075										+								+		+	+	+			+	+			+		+	+	+
20140923LGYT076			+							+							+	+		+		+		+	+	+					+	+	
20140923LGYT077			+							+								+		+		+			+	+						+	
20140923LGYT079			+							+							+	+		+		+		+	+	+						+	
20140923LGYT080			+							+							+			+				+	+	+						+	
20140923LGYT081		+			+					+			+					+	+						+		+		+				
20140923LGYT082			+				+	+									+			+				+	+	+							
20140923LGYT083																						+			+	+		+	+			+	+
20140923LGYT084			+														+			+		+		+	+	+							+
20140923LGYT085			+														+	+		+				+	+	+			+			+	+
20140923LGYT086			+														+			+				+	+	+							
20140923LGYT088												+						+							+	+			+			+	+
20140923LGYT089												+						+			+				+				+			+	+
20140923LGYT091												+									+				+	+			+			+	+
20140923LGYT093			+									+					+							+	+	+							
20140923LGYT094			+									+					+			+				+	+								
20140923LGYT097		+	+									+								+		+			+							+	+
20140923LGYT098		+	+									+													+							+	
20140923LGYT099			+									+								+					+	+							
20140923LGYT102												+						+		+	+	+			+	+						+	+
20140923LGYT103												+						+		+	+				+	+						+	+
20140923LGYT104												+								+					+							+	+
20140923LGYT105		+	+									+						+		+	+				+	+						+	+
20140923LGYT106		+	+		+							+					+	+		+		+		+	+	+							+
20140923LGYT108		+	+		+							+					+			+		+		+	+	+						+	+
20140923LGYT109					+							+		+						+		+			+	+							+
20140923LGYT110												+		+							+	+			+	+						+	+
20140923LGYT111		+	+									+						+			+	+			+	+						+	+
20140923LGYT112					+															+		+			+							+	+
20140923LGYT113														+				+			+				+	+						+	+
20140923LGYT114																		+		+	+	+				+						+	+
20140923LGYT123												+						+				+				+							
20140923LHMT018															+												+						
20140923LHMT019															+							+					+						
20140923LMMT049				+																		+					+	+				+	
20140923LMMT050								+						+				+				+										+	
20140923LMMT052								+										+			+	+	+		+	+	+					+	
20140923LMMT054			+	+				+										+				+	+		+	+						+	
20140923LMMT055			+		+					+								+								+			+				
20140923LMMT056					+					+								+	+			+							+				
20140923LMMT057								+					+					+				+	+			+						+	
20140923LMMT059					+					+								+				+							+				
20140923LMMT062								+										+				+										+	
20140923LMMT063												+						+								+		+					
20140923LMMT064												+                                                          														+		+					
20140923LMMT065								+										+				+											+
20140923LMMT066												+														+		+					
20140923LMMT068													+									+										+	
20140923LMMT070								+	+			+						+				+										+	
20140923LMMT071								+						+				+				+	+		+							+	
20140923LMMT072			+					+	+			+		+				+				+	+		+							+	
20140923LMMT073					+			+					+					+	+										+			+	
20140923LMMT074			+		+			+	+			+		+				+	+			+	+		+							+	
20140923LMMT075								+	+		+	+		+				+				+										+	
20140923LMMT076			+					+	+		+	+		+				+				+										+	
20140923LMMT077					+							+                                                          	+				+	+	+										+			+	
20140923LMMT078			+		+			+	+		+	+		+			+	+				+			+							+	
20140923LMMT080			+									+		+				+				+			+							+	
20140923LMMT083								+	+			+		+				+				+			+							+	+
20140923LMMT084			+						+			+		+				+				+			+							+	+
20140923LMMT085			+					+				+		+				+				+			+							+	+
20140923LMMT086			+									+		+				+				+			+							+	+
20140923LMMT087												+		+				+				+			+							+	+
20140923LMMT088			+					+	+			+		+				+							+								+
20140923LMMT089												+		+				+			+				+							+	+
20140923LMMT091												+		+				+			+	+			+	+						+	+
20140923LMMT092												+		+				+				+			+	+						+	+
20140923LMMT093					+			+					+					+	+										+				
20140923LMMT094		+							+			+		+				+			+	+			+	+		+				+	+
20140923LMMT096		+			+							+	+	+				+			+	+			+	+						+	+
20140923LMMT099		+			+				+			+	+	+				+			+	+			+							+	+
20140923LMMT100					+				+			+	+					+			+	+			+							+	+
20140923LMMT101													+					+	+		+	+				+						+	+
20140923LMMT102		+			+				+			+	+	+				+			+	+			+	+						+	+
20140923LMMT103		+	+		+				+			+	+	+				+			+	+			+	+						+	+
20140923LMMT104		+	+									+	+	+				+				+			+							+	+
20140923LMMT105		+	+									+	+					+			+	+			+	+						+	+
20140923LMMT106		+	+									+	+	+				+			+	+			+	+						+	+
20140923LMMT107			+									+	+					+			+	+			+	+						+	+
20140923LMMT109												+	+					+			+	+			+	+						+	+
20140923LMMT110		+			+							+	+	+			+	+			+	+			+	+						+	+
20140923LMMT111		+	+									+		+				+				+			+							+	+
20140923LMMT112		+	+									+		+				+			+	+			+			+				+	+
20140923LMMT113		+	+																	+		+			+	+						+	
20140923LMMT114		+	                                                                                                                                                                                                                                                                                                     									+		+				+			+	+			+	+		+				+	+
20140923LMMT115												+						+			+	+			                                       							+	+
20140923LMMT116												+		     +				+			+	+			+			+				+	
20140923LMMT117												+		     +				+			+	+			+			+				+	+
20140923LMMT118												+		     +				+				+			+	+		+				+	
20140923LMMT121												+		     +			+					+			+	+		+				+	+
20140923LMMT122												+		     +				+			+	+			+	+		+				+	+
20140923LMMT126			+									+		+						+		+			+	+		+					
20140923LMMT127														+				+			+	+	+		+							+	+
20140923LMMT128												+		+				+			+	+	+		+	+						+	+
20140923LMMT129			+ 		+									+				+	+			+			+	+			+			+	
20140923LMMT133					+													+	+			+							+				
20140923WST025																				+						+							
20140923WSYT121												+						+							+	+							+
20140923WSYT122												+						+				+			+	+							+
20140923WSYT125																		+				+			+	+							+
20140923WSYT126													+									+			+								+
20140923WSYT129																						+			+	+							+
20140923WSYT135												+													+	+							
20140923WSYT136																		+				+			+	+							
20140923WSYT138																		+							+	+							+
20140923WSYT139																									+	+							+
20140923WSYT141												+						+							+	+			+				
20140923WSYT142												+						+							+	+							
20140923WSYT143																		+								+			+				
20140923WSYT155																				+						+			+				
20140924DHWT090		+										+						+				+			+	+		+				+	+
20140924DHWT093		+	+									+										+	+		+	+						+	+
20140924DHWT095		+	+									+						+				+	+		+	+						+	+
20140924DHWT097		+										+						+				+	+		+							+	+
20140924DHWT098		+	+									+										+			+							+	+
20140924DHWT099		+	+									+										+			+	+						+	+
20140924DHWT100		+										+										+	+		+	+						+	+
20140924KYYT075												+		+							+	+	+		+	+						+	+
20140924KYYT077			+											+								+											
20140924KYYT082												+		+							+	+			+							+	+
20140924KYYT088														+							+	+			+							+	+
20140924KYYT089		+										+		+											+			+					+
20140924KYYT090														+								+						+				+	+
20140924KYYT093		+										+		+					+			+			+			+				+	+
20140924KYYT095		+										+		+							+	+			+			+				+	+
20140924KYYT097		+										+		+								+			+			+					
20140924KYYT099		+										+									+	+			+			+				+	+
20140924KYYT104		+										+		+					+		+	+			+			+				+	+
20140924KYYT107		+										+		+					+			+			+			+				+	
20140924KYYT110														+								+			+			+				+	+
20140924KYYT116		+												+								+	+		+			+					+
20140924WST035																		+				+			+							+	
20140925DYYT182														+								+			+				+			+	+
20140925DYYT185														+				+							+							+	+
20140925DYYT186														+				+				+			+	+						+	+
20140925DYYT187														+								+			+	+						+	+
20140925DYYT188														+											+	+						+	+
20140925DYYT196			+																		+					+							
20140925DYYT200		+			+																	+			+				+			+	+
20140925KYYT117		+										+		+								+			+			+				+	+
20140925KYYT123																						+			+			+				+	+
20140925KYYT125			+											+					+			+	+		+	+		+	+		+	+	
20140925KYYT128		+												+								+			+			+				+	+
20140925KYYT129		+												+	+							+			+			+				+	+
20140925KYYT131		+			+													+				+			+				+			+	
20140925KYYT133	+	+																				+					+						
20140925KYYT135	+	+																				+											
20140925LHMT047					+																								+				
20140925LHMT052														+								+	+			+	+						
20140925WST057																						+				+						+	
20140925YXYT018											+									+												+	+
20140926GYT048													+													+						+	+
20140926GYT060												+													+	+						+	+
20140926LTT452																		+			+	+				+						+	+
20140926WHHT029			+															+			+	+				+					+		
20140926WHHT030														+				+			+	+			+			+					
20140926WHHT033			+	+										+								+			+			+			+		
20140926WHHT034				+														+		+		+									+		
20140926WHHT035																		+		+	+	+			+								
20140926WKT225																		+			+	+				+			+			+	+
20140926WKT227																+		+			+		+			+			+			+	+
20140926WKT228													+			+		+			+	+	+			+			+			+	+
20140927YXYT025				+				+												+		+				+						+	
20140927YXYT029				+				+														+				+						+	
20140928WHHT037														+								+			+							+	
20140928WHHT039														+								+			+			+				+	
20140928WHHT040																						+											
20140929DHWT110		+	+									+						+				+			+	+		+				+	+
20140929DHWT111		+										+						+				+			+							+	+
20140929DHWT112		+	+									+						+				+	+		+	+		+				+	+
20140929DHWT116			+		+		+											+							+				+				
20140929DHWT117												+						+					+		+	+						+	+
20140929DHWT118																		+				+	+		+				+				+
20140929DHWT120												+						+				+	+		+				+			+	+
20140929DHWT121																		+				+	+		+	+			+			+	+
20140929DHWT125							+					+						+				+			+	+		+					
20140929GYT079			+									+										+			+							+	+
20140929GYT080			+														+					+			+							+	+
20140929LTT471							+		+									+							+							+	+
20140929LYT034					+													+							+				+			+	+
20140929WSYT158																						+							+				
20140929XART153																						+										+	
20140929ZMFT045					+													+											+			+	+
20140930XART170														+											+							+	+
20140930XART177			+							+				+											+	+						+	+
20140930XART185			+											+								+			+	+							
20140930XART190			+							+				+								+			+	+							
20140930ZZDT012		+		+				+					+					+		+		+	+		+	+	+						
20140930ZZDT013				+	+			+			+		+					+		+		+	+			+							
20140930ZZDT014				+				+				+	+					+		+		+	+		+	+			+			+	
20140930ZZDT017				+				+				+						+		+	+	+	+		+	+			+			+	
20140930ZZDT020								+				+						+		+	+	+	+		+	+			+			+	
20141002DHWT126																					+	+											
20141002DHWT130																					+	+			+								
20141002DHWT144																					+	+			+	+						+	+
20141002DHWT149																					+	+			+							+	+
20141002DHWT154																		+			+				+							+	+
20141003DHWT168																		+				+			+								+
20141003DHWT170																		+			+				+								+
20141003DHWT172																		+			+	+			+								+
20141003DHWT176																					+	+			+								+
20141003DHWT179												+										+			+								+
20141003DYYT203		+																			+	+			+				+			+	+
20141003DYYT204		+																				+			+				+			+	+
20141003DYYT206		+	+																		+	+			+	+						+	
20141003DYYT208		+	+									+	+					+			+				+	+							
20141003DYYT211													+					+			+	+				+						+	+
20141003DYYT212																				+	+	+				+							
20141003DYYT222																					+					+							
20141003KYYT136												+		+							+	+			+			+				+	+
20141003KYYT137												+		+								+			+			+				+	+
20141003KYYT138														+						+	+	+			+			+				+	+
20141003KYYT139								+				+		+							+				+							+	+
20141003KYYT140								+				+									+				+							+	+
20141003KYYT141								+				+									+	+			+							+	+
20141003KYYT143								+				+		+							+	+			+							+	+
20141003KYYT145								+				+		+				+			+				+							+	+
20141003KYYT151								+										+		+	+				+							+	+
20141003KYYT153								+										+			+	+			+							+	+
20141003KYYT154								+										+			+				+							+	+
20141003KYYT155								+				+		+				+		+	+	+			+							+	+
20141003KYYT156												+		+						+	+	+			+							+	+
20141003KYYT161								+				+		+				+							+							+	+
20141003KYYT166												+		+				+			+	+			+							+	+
20141003KYYT172								+		+		+						+		+	+	+			+							+	+
20141003KYYT173								+				+		+				+			+	+			+	+						+	+
20141003KYYT174								+				+						+			+				+							+	+
20141003KYYT176								+				+		+				+			+	+			+							+	+
20141003KYYT178								+		+		+		+				+		+	+	+			+			+				+	+
20141003KYYT179								+				+						+			+	+			+							+	+
20141003KYYT181								+				+		+				+			+				+	+		+				+	+
20141003KYYT183										+		+						+			+	+			+	+						+	+
20141004GYT107																						+			+	+						+	
20141004GYT108									+									+					+		+								
20141004GYT110																		+				+			+	+						+	
20141004GYT112																		+					+		+							+	+
20141004GYT114																		+					+									+	+
20141004GYT115																		+				+	+		+							+	+
20141004GYT125														+								+	+		+							+	+
20141004GYT126														+									+		+							+	+
20141004KYYT211												+						+		+	+	+			+							+	+
20141004KYYT227												+						+			+	+			+							+	+
20141004KYYT230											+	+						+			+	+			+							+	+
20141004KYYT232												+									+	+			+								
20141004KYYT237												+									+	+			+							+	+
20141004XART208			+				+			+				+								+			+							+	+
20141004XART209			+				+			+				+								+			+	+						+	+
20141004XART210											+			+								+			+							+	+
20141004XART211											+		+	+							+	+			+							+	+
20141004XART213											+			+											+							+	+
20141004XART214											+			+				+				+			+							+	+
20141005DHWT182												+						+			+	+			+								+
20141005DHWT185												+						+				+			+								+
20141005DHWT188												+						+							+								+
20141005DHWT190												+										+											+
20141005DHWT191												+						+				+										+	+
20141005DHWT192							+			+		+						+				+	+									+	+
20141005DHWT195										+		+		+				+					+		+							+	+
20141005DHWT196										+		+						+				+	+		+							+	+
20141005DHWT199										+		+										+	+		+							+	+
20141005DHWT200					+		+			+		+						+				+	+		+							+	+
20141005DHWT201																		+				+	+									+	+
20141005DHWT203							+			+		+						+				+	+		+							+	+
20141005DHWT204			+				+			+															+	+						+	+
20141005GYT128																		+				+	+										+
20141005ZHT002													+			+					+		+		+	+							
20141005ZHT008												+									+	+			+				+			+	+
20141005ZHT012																+							+		+	+							
20141005ZHT013												+	+					+							+	+			+			+	+
20141005ZHT017												+	+					+				+			+	+			+			+	+
20141005ZHT020																						+			+	+			+			+	+
20141005ZHT022																+							+		+								
20141005ZHT024	+															+							+		+	+							
20141006WSYT186													+									+			+							+	+
20141007DHWT208							+			+												+			+							+	+
20141007DHWT209							+			+		+						+				+			+	+						+	+
20141007DHWT210							+			+		+						+				+			+							+	+
20141007DHWT211							+					+						+				+			+							+	+
20141007DHWT212							+											+				+			+							+	+
20141007DHWT214							+															+			+							+	+
20141007DHWT217							+											+				+										+	+
20141007DHWT218							+			+								+				+			+							+	+
20141007DHWT221							+			+								+				+			+								+
20141007DHWT222							+											+							+								+
20141007DHWT232																						+			+								+
20141007GYT130																		+					+										+
20141007GYT132																		+					+		+								+
20141007GYT133																				+												+	+
20141007GYT137																				+					+							+	+
20141007GYT139																				+					+								+
20141008GYT152			+				+															+				+		+	+			+	+
20141008KYYT243	+	+																							+		+			+			
20141008WHHT042														+								+			+						+	+	
20141008WHHT043																						+									+	+	
20141009DDDT172					+					+			+					+	+										+				
20141009DDDT179			+																	+					+	+		+					
20141009DDDT180			+						+					+											+	+						+	
20141009GYT153																						+											+
20141009XART218			+																			+			+						+	+	+
20141009XART219											+											+									+	+	+
20141009XART221			+																						+								
20141009XART225											+			+								+			+						+	+	+
20141009XART234																						+	+		+							+	+
20141010DDDT184			+						+					+				+							+	+						+	
20141010DDDT186			+						+									+							+	+							
20141010DDDT187			+						+																+	+							
20141010DDDT194		+																+							+							+	+
20141010DDDT196					+					+		+						+							+				+				
20141010DHWT101		+										+						+				+			+	+						+	+
20141011LHMT059			+	+	+				+						+			+	+							+	+		+				
20141011LHMT060			+	+	+				+									+	+							+			+				
20141011LHMT067			+																	+		+									+		
20141012GYT157																				+													
20141012GYT158																				+					+								
20141012GYT159																				+					+	+							
20141012GYT161																						+			+								
20141012WST092																					+	+			+							+	
20141012WST097																		+				+										+	
20141012WST103																		+														+	+
20141012WST109																		+				+										+	+
20141012WSYT195												+	+												+							+	+
20141012WSYT196													+							+		+										+	+
20141012WSYT198													+									+										+	+
20141012YXYT035			+	+				+												+						+		+				+	+
20141012YXYT037				+																		+			+							+	+
20141013GYT171			+					+												+		+				+		+				+	+
20141013YXYT058				+					+											+		+						+				+	+
20141014WHHT047		+							+		+							+				+			+						+	+	
20141014WHHT048		+									+											+			+						+	+	
20141014WHHT050									+													+									+	+	+
20141014WHHT051		+									+							+				+			+						+	+	+
20141014WHHT057		+							+		+							+				+			+						+	+	+
20141014WHHT061		+							+		+							+				+			+				+		+	+	
20141014WHHT066		+							+		+							+				+			+				+		+	+	+
20141014WHHT067		+									+							+				+			+				+		+	+	+
20141016LZLT053			+							+				+											+							+	+
20141016LZLT058			+											+											+							+	+
20141016LZLT059			+											+								+			+				+			+	+
20141016LZLT062										+																						+	
20141016LZLT063										+												+										+	+
20141016LZLT069										+															+							+	
20141016LZLT070			+									+		+					+						+			+				+	+
20141016LZLT071			+							+		+		+					+						+			+				+	+
20141016WSYT199													+									+											
20141017GYT172			+																	+		+	+			+						+	+
20141017GYT173			+											+						+		+			+	+						+	
20141017GYT174					+					+		+ 	+	+				+				+			+				+				
20141018LHMT069									+													+											
20141018LHMT075																				+		+				+						+	+
20141018LHMT077																						+				+						+	+
20141018ZZDT001								+										+		+	+	+	+			+						+	
20141018ZZDT002																		+		+		+	+		+	+						+	
20141018ZZDT003								+										+			+	+	+			+			+			+	
20141018ZZDT007								+				+	+					+		+	+	+	+		+	+			+			+	
20141018ZZDT008		+							+				+		+			+				+			+	+						+	
20141018ZZDT009		+						+					+	+	+	+		+				+	+						+	+		+	
20141018ZZDT010		+		+				+					+	+	+			+				+				+			+	+			
20141018ZZDT011				+				+										+		+	+	+	+		+	+						+	
20141020YXYT064			+																			+			+			+				+	+
20141020YXYT065			+		+						+							+	+			+			+	+			+			+	
20141020YXYT066			+		+						+							+	+			+			+	+			+			+	+
20141020YXYT067			+	+	+								+					+	+			+				+		+	+			+	+
20141020YXYT068			+		+			+										+	+			+			+	+			+			+	
20141021WHHT070		+							+		+											+			+						+	+	
20141021WHHT072		+							+													+			+							+	
20141021WHHT076		+							+													+			+						+	+	+
20141021WJLT297																		+			+	+										+	+ 
20141022YXYT082				+																		+				+							
20141022YXYT084					+		+															+			+							+	+
20141023WST132	+																					+										+	
20141023WST136																						+							+			+	
20141024CGT007		+							+									+				+				+						+	
20141024CGT008		+																+				+										+	
20141026WHHT077		+							+													+			+						+	+	
20141026WJLT312																					+	+			+ 							+	
20141026WJLT313																		+			+	+			+							+	+ 
20141027YXYT093			+	+																		+				+		+				+	+
20141027YXYT094			+		+																	+		+	+	+			+			+	+
20141029CGT009									+			+						+				+			+							+	+
20141029CGT013																		+			+	+	+		+							+	+
20141030LYNT002		+	+		+				+			+								+				+	+	+			+			+	
20141030LYNT003					+					+		+		+								+			+							+	+
20141030LYNT004					+							+		+				+				+			+							+	+
20141031WKP005		+	+				+		+																+							+	
20141101LHMT083	+	+		+							+															+					+		
20141101LHMT084			+	+													+					+				+					+	+	+
20141101LHMT093															+							+											
20141101LHMT096		+													+							+											
20141101LHMT098																						+				+							
20141101LHMT099																		+				+				+							
20141101WHHT081		+							+													+			+							+	+
20141101WHHT084		+							+													+			+					+	+	+	+
20141101WST143												+						+	+										+	+			
20141101WST144			+																						+	+							
20141101WST152																						+									+		
20141101ZHT029						+																+			+	+						+	
20141101ZHT034																+						+	+		+	+						+	+
20141101ZHT035																+				+			+		+	+						+	
20141101ZHT036																+				+	+		+		+	+						+	
20141101ZHT038																+						+	+		+							+	
20141101ZHT039																+						+	+									+	+
20141101ZHT040																+		+				+	+			+						+	+
20141101ZZDT024								+					+					+			+	+	+		+	+						+	
20141101ZZDT026								+				+	+					+		+	+	+	+		+	+						+	
20141101ZZDT027			+				+											+				+			+	+							
20141101ZZDT028				+				+										+		+		+	+		+	+						+	
20141101ZZDT029				+				+										+					+		+	+						+	
20141101ZZDT030								+										+		+		+	+		+							+	+
20141101ZZDT032																		+		+		+			+	+							
20141101ZZDT033																		+		+		+	+		+							+	
20141101ZZDT034		+		+				+										+		+		+	+		+	+	+						
20141101ZZDT038														+				+		+		+			+	+							
20141101ZZDT040			+		+				+	+			+					+			+					+							
20141101ZZDT041				+				+					+					+		+	+	+	+		+	+						+	+
20141102LYNT011					+						+	+		+				+			+	+			+				+			+	+
20141102LYNT012					+										+			+			+						+		+			+	+
20141102LYNT020					+					+	+	+		+								+			+							+	+
20141102LYNT022											+	+		+								+			+							+	+
20141102LYNT024					+									+			+	+							+				+			+	+
20141102LYNT025					+					+				+				+							+							+	+
20141102LYNT030					+			+		+				+				+							+				+			+	+
